,tempo,loudness,danceability,energy,popularity
0,134.381,-13.27,0.596,0.305,54
1,191.107,-11.279000000000002,0.248,0.483,58
2,76.04899999999998,-14.107,0.523,0.16899999999999998,54
3,105.469,-9.801,0.526,0.252,52
4,122.949,-7.216,0.594,0.75,52
5,94.233,-12.992,0.442,0.417,54
6,126.841,-14.98,0.556,0.384,51
7,164.825,-6.971,0.613,0.772,56
8,110.468,-10.495,0.644,0.39,52
9,122.422,-15.154000000000002,0.392,0.124,55
10,139.213,-9.565,0.489,0.475,57
11,148.336,-10.39,0.612,0.675,59
12,91.744,-6.221,0.473,0.855,52
13,120.666,-10.142,0.6409999999999999,0.677,58
14,136.02700000000002,-4.503,0.593,0.943,57
15,137.905,-5.631,0.674,0.833,59
16,116.294,-3.751,0.7859999999999999,0.942,51
17,98.247,-12.548,0.565,0.4920000000000001,51
18,111.035,-17.675,0.645,0.289,55
19,88.431,-12.455,0.605,0.6859999999999999,52
20,128.214,-10.866,0.5539999999999999,0.33,66
21,135.256,-8.19,0.79,0.622,55
22,111.314,-9.056,0.7559999999999999,0.534,52
23,97.113,-7.938,0.603,0.657,51
24,89.221,-17.195999999999998,0.517,0.261,52
25,88.98899999999998,-12.959,0.61,0.39,51
26,126.629,-15.222,0.6459999999999999,0.636,52
27,129.062,-8.045,0.731,0.6829999999999999,56
28,101.59,-8.352,0.573,0.8370000000000001,57
29,131.89,-6.374,0.574,0.467,59
30,113.853,-5.166,0.562,0.923,54
31,90.788,-11.712,0.7340000000000001,0.521,54
32,93.698,-11.048,0.851,0.73,54
33,100.012,-16.621,0.598,0.43,51
34,98.009,-6.773,0.62,0.908,52
35,194.19,-10.411,0.462,0.665,51
36,108.018,-8.027999999999999,0.779,0.635,59
37,72.399,-13.932,0.0908,0.461,55
38,78.366,-18.262,0.276,0.15,51
39,72.923,-13.149,0.47,0.297,53
40,72.426,-7.292000000000002,0.221,0.6759999999999999,51
41,126.998,-7.585,0.7490000000000001,0.662,61
42,175.294,-6.606,0.331,0.885,57
43,72.637,-13.156,0.444,0.339,58
44,110.47,-14.932,0.5529999999999999,0.408,52
45,121.997,-10.936,0.742,0.299,52
46,118.003,-8.318999999999999,0.833,0.607,52
47,108.114,-7.68,0.7240000000000001,0.585,60
48,98.507,-10.773,0.49,0.418,62
49,73.085,-14.085,0.618,0.264,52
50,120.085,-9.007,0.614,0.474,51
51,132.185,-6.817,0.626,0.487,52
52,116.016,-13.755999999999998,0.343,0.182,52
53,91.179,-7.307,0.76,0.585,52
54,130.418,-6.527,0.8340000000000001,0.945,52
55,99.573,-12.146,0.332,0.23,55
56,105.065,-8.091000000000001,0.82,0.838,52
57,91.251,-5.3020000000000005,0.545,0.902,55
58,133.77700000000002,-10.612,0.868,0.616,55
59,99.041,-9.483,0.551,0.607,53
60,123.873,-7.449,0.688,0.917,53
61,90.842,-10.769,0.644,0.453,57
62,97.095,-6.9170000000000025,0.595,0.836,53
63,173.65099999999995,-8.058,0.406,0.276,51
64,153.954,-7.838999999999999,0.336,0.511,51
65,136.028,-9.292,0.7,0.687,52
66,130.536,-8.586,0.8759999999999999,0.348,51
67,159.208,-9.215,0.6940000000000001,0.6579999999999999,53
68,82.18299999999998,-12.952,0.355,0.258,52
69,122.311,-6.783,0.338,0.922,51
70,139.991,-11.2,0.63,0.596,51
71,146.143,-2.603,0.8059999999999999,0.758,55
72,84.899,-15.595999999999998,0.364,0.5710000000000001,53
73,134.11,-3.248,0.6,0.7609999999999999,57
74,147.997,-5.8660000000000005,0.639,0.8190000000000001,54
75,82.005,-5.96,0.483,0.631,54
76,116.629,-8.096,0.389,0.715,52
77,112.309,-5.502999999999999,0.736,0.711,51
78,88.463,-12.736,0.61,0.265,52
79,117.382,-9.841,0.821,0.418,51
80,165.889,-2.757,0.368,0.977,52
81,78.045,-9.836,0.501,0.511,53
82,90.593,-19.528,0.233,0.122,52
83,85.493,-5.624,0.274,0.742,54
84,176.42,-13.497,0.184,0.219,54
85,72.363,-13.977,0.123,0.136,52
86,122.015,-7.732,0.7659999999999999,0.888,55
87,118.95,-3.498,0.905,0.882,55
88,154.349,-4.492,0.469,0.926,58
89,173.365,-7.227,0.429,0.6609999999999999,51
90,136.172,-8.807,0.4320000000000001,0.563,58
91,82.208,-10.466,0.731,0.4270000000000001,52
92,139.909,-5.734,0.585,0.7020000000000001,61
93,93.128,-5.1389999999999985,0.366,0.826,55
94,116.782,-10.711,0.321,0.462,51
95,75.723,-5.516,0.371,0.696,55
96,80.928,-5.096,0.487,0.774,52
97,120.854,-4.088,0.508,0.826,64
98,95.758,-9.866,0.672,0.5,57
99,117.033,-6.132999999999999,0.8220000000000001,0.672,61
100,123.58,-6.039,0.606,0.913,65
101,132.023,-8.963,0.705,0.418,51
102,90.638,-5.544,0.63,0.855,58
103,123.981,-6.1560000000000015,0.782,0.6679999999999999,60
104,142.05,-4.447,0.5710000000000001,0.622,59
105,92.133,-7.516,0.6459999999999999,0.478,56
106,120.022,-7.591,0.682,0.687,51
